department,course_number
AFRICAM,R1A
AFRICAM,R1B
AFRICAM,4B
AFRICAM,5B
AFRICAM,10B
AFRICAM,11B
AFRICAM,15B
AFRICAM,24
AFRICAM,28AC
AFRICAM,30B
AFRICAM,98BC
AFRICAM,101
AFRICAM,109
AFRICAM,112B
AFRICAM,115
AFRICAM,117
AFRICAM,123
AFRICAM,131
AFRICAM,139
AFRICAM,142AC
AFRICAM,C143A
AFRICAM,152F
AFRICAM,153C
AFRICAM,156AC
AFRICAM,158B
AFRICAM,159
AFRICAM,C178
AFRICAM,H195A
AFRICAM,H195B
AFRICAM,198BC
AFRICAM,201B
AFRICAM,240
AFRICAM,241
AFRICAM,C265
AFRICAM,296
AFRICAM,298
AFRICAM,602
ENVECON,C1
ENVECON,100
ENVECON,C101
ENVECON,C118
ENVECON,143
ENVECON,147
ENVECON,C151
ENVECON,162
ENVECON,C181
ENVECON,C183
ENVECON,195
ENVECON,H196
ENVECON,197
ENVECON,198
ENVECON,199
"A,RESEC",202
"A,RESEC",212
"A,RESEC",242
"A,RESEC",261
"A,RESEC",263
"A,RESEC",264
"A,RESEC",298
"A,RESEC",299
"A,RESEC",400
"A,RESEC",602
AMERSTD,10
AMERSTD,101
AMERSTD,102
AMERSTD,C111E
AMERSTD,139AC
AMERSTD,C152
AMERSTD,C172
AMERSTD,191
AMERSTD,H195
AHMA,210
AHMA,299
ANTHRO,1
ANTHRO,2AC
ANTHRO,3AC
ANTHRO,R5B
ANTHRO,84
ANTHRO,98
ANTHRO,C103
ANTHRO,111
ANTHRO,114
ANTHRO,115
ANTHRO,123A
ANTHRO,128M
ANTHRO,134
ANTHRO,137
ANTHRO,138B
ANTHRO,149
ANTHRO,156
ANTHRO,162
ANTHRO,170
ANTHRO,179
ANTHRO,184
ANTHRO,189
ANTHRO,189A
ANTHRO,H195A
ANTHRO,217
ANTHRO,229B
ANTHRO,230
ANTHRO,240B
ANTHRO,250C
ANTHRO,250R
ANTHRO,250V
ANTHRO,250X
ANTHRO,C262B
ANTHRO,C273
ANTHRO,280D
ANTHRO,290
ANTHRO,296A
ANTHRO,296B
ANTHRO,298
ANTHRO,299
ANTHRO,301
ANTHRO,602
AST,C225
AST,299
ARCH,11B
ARCH,24
ARCH,98BC
ARCH,100B
ARCH,100D
ARCH,102B
ARCH,139
ARCH,140
ARCH,159
ARCH,160
ARCH,169
ARCH,170B
ARCH,198
ARCH,198BC
ARCH,199
ARCH,200B
ARCH,202
ARCH,204B
ARCH,205B
ARCH,207B
ARCH,207D
ARCH,212
ARCH,230
ARCH,239
ARCH,240
ARCH,242
ARCH,256
ARCH,259
ARCH,269
ARCH,279
ARCH,298
ARCH,375
VIS STD,185X
VIS STD,187A
VIS STD,280
VIS STD,298
ART,8
ART,12
ART,13
ART,14
ART,15
ART,W23AC
ART,98
ART,99
ART,100
ART,102
ART,117
ART,118
ART,119
ART,120
ART,123
ART,130
ART,132
ART,160
ART,165
ART,C174
ART,180
ART,184
ART,185
ART,H195A
ART,H195B
ART,196
ART,198
ART,199
ART,290
ART,294
ART,295
ART,298
ART,299
ART,301
HISTART,R1B
HISTART,11
HISTART,27
HISTART,100
HISTART,145A
HISTART,151
HISTART,169A
HISTART,175
HISTART,190F
HISTART,190M
HISTART,192A
HISTART,192B
HISTART,192D
HISTART,192F
HISTART,192H
HISTART,H195
HISTART,C196A
HISTART,C196B
HISTART,C196W
HISTART,270
HISTART,281
HISTART,285
HISTART,290
HISTART,296
HISTART,299
HISTART,300
HISTART,601
HISTART,602
ASAMST,R2A
ASAMST,R2B
ASAMST,20A
ASAMST,97
ASAMST,98
ASAMST,99
ASAMST,121
ASAMST,124
ASAMST,131
ASAMST,132AC
ASAMST,144
ASAMST,146
ASAMST,150
ASAMST,151AC
ASAMST,171
ASAMST,173
ASAMST,176
ASAMST,195
ASAMST,H195B
ASAMST,197
ASAMST,198
ASAMST,199
ASIANST,98
ASIANST,150
ASIANST,H195A
ASIANST,H195B
ASIANST,198
ASIANST,199
ASIANST,201
ASIANST,298
ASIANST,299
ASTRON,7B
ASTRON,10
ASTRON,C12
ASTRON,99
ASTRON,121
ASTRON,C161
ASTRON,H195
ASTRON,199
ASTRON,C202
ASTRON,216
ASTRON,218
ASTRON,C285
ASTRON,290B
ASTRON,C290C
ASTRON,292
ASTRON,C292
ASTRON,298
ASTRON,299
ASTRON,999
BIO ENG,25
BIO ENG,98
BIO ENG,99
BIO ENG,101
BIO ENG,104
BIO ENG,110
BIO ENG,111
BIO ENG,C112
BIO ENG,115
BIO ENG,C117
BIO ENG,121
BIO ENG,C125
BIO ENG,190
BIO ENG,H194
BIO ENG,196
BIO ENG,198
BIO ENG,199
BIO ENG,200
BIO ENG,C213
BIO ENG,C215
BIO ENG,221
BIO ENG,C222
BIO ENG,241
BIO ENG,C265
BIO ENG,290
BIO ENG,296
BIO ENG,298
BIO ENG,299
BIOPHY,H196
BIOPHY,292
BIOPHY,293B
BUDDSTD,C117
BUDDSTD,C128
BUDDSTD,C140
BUDDSTD,150
BUDDSTD,190
BUDDSTD,200
BUDDSTD,C215
BUDDSTD,220
BUDDSTD,298
BUDDSTD,299
BUDDSTD,601
BUDDSTD,602
UGBA,10
UGBA,96
UGBA,100
UGBA,101A
UGBA,101B
UGBA,102A
UGBA,102B
UGBA,103
UGBA,104
UGBA,105
UGBA,106
UGBA,107
UGBA,115
UGBA,118
UGBA,119
UGBA,120AA
UGBA,120AB
UGBA,120B
UGBA,121
UGBA,122
UGBA,126
UGBA,128
UGBA,131
UGBA,132
UGBA,133
UGBA,136F
UGBA,137
UGBA,141
UGBA,151
UGBA,154
UGBA,155
UGBA,160
UGBA,165
UGBA,167
UGBA,169
UGBA,170
UGBA,C172
UGBA,177
UGBA,178
UGBA,179
UGBA,180
UGBA,183
UGBA,184
UGBA,190T
UGBA,191P
UGBA,192A
UGBA,192N
UGBA,192T
UGBA,194
UGBA,195A
UGBA,196
MBA,209F
MBA,236H
MBA,283
MBA,296
EWMBA,236H
EWMBA,260
MFE,230M
MFE,230X
PHDBA,219S
PHDBA,229C
PHDBA,229S
PHDBA,239B
PHDBA,239DA
PHDBA,239DB
PHDBA,239E
PHDBA,239S
PHDBA,259B
PHDBA,259S
PHDBA,269B
PHDBA,269S
PHDBA,C270
PHDBA,279C
PHDBA,C279I
PHDBA,279S
PHDBA,289A
PHDBA,289S
PHDBA,297T
PHDBA,375
CELTIC,R1B
CELTIC,85
CELTIC,98
CELTIC,99
CELTIC,139
CELTIC,146B
CELTIC,173
CELTIC,H195A
CELTIC,H195B
CELTIC,198
CELTIC,199
CHM ENG,90
CHM ENG,98
CHM ENG,141
CHM ENG,143
CHM ENG,150A
CHM ENG,154
CHM ENG,160
CHM ENG,162
CHM ENG,170A
CHM ENG,C178
CHM ENG,185
CHM ENG,H193
CHM ENG,H194
CHM ENG,195
CHM ENG,196
CHM ENG,197
CHM ENG,198
CHM ENG,199
CHM ENG,245
CHM ENG,295Q
CHM ENG,296
CHM ENG,298
CHM ENG,299
CHM ENG,300
CHM ENG,602
CHEM,1A
CHEM,1AD
CHEM,1AL
CHEM,1B
CHEM,3A
CHEM,3AL
CHEM,3B
CHEM,3BL
CHEM,4B
CHEM,24
CHEM,49
CHEM,104B
CHEM,105
CHEM,C110L
CHEM,112B
CHEM,115
CHEM,120A
CHEM,125
CHEM,C130
CHEM,130B
CHEM,146
CHEM,C178
CHEM,C182
CHEM,192
CHEM,H193
CHEM,H194
CHEM,195
CHEM,196
CHEM,199
CHEM,208
CHEM,220B
CHEM,221B
CHEM,223A
CHEM,253A
CHEM,253B
CHEM,253C
CHEM,262
CHEM,268
CHEM,270A
CHEM,270B
CHEM,C271A
CHEM,C271B
CHEM,C271C
CHEM,295
CHEM,298
CHEM,299
CHEM,300
CHEM,301
CHEM,301A
CHEM,301B
CHEM,301C
CHEM,301D
CHEM,301W
CHEM,602
CHICANO,R1A
CHICANO,R1B
CHICANO,20
CHICANO,24
CHICANO,97
CHICANO,98
CHICANO,99
CHICANO,135B
CHICANO,141
CHICANO,143
CHICANO,150B
CHICANO,161
CHICANO,165
CHICANO,176
CHICANO,180
CHICANO,180AC
CHICANO,195
CHICANO,H195B
CHICANO,197
CHICANO,198
CHICANO,199
CY PLAN,113A
CY PLAN,114
CY PLAN,116
CY PLAN,118AC
CY PLAN,120
CY PLAN,190
CY PLAN,201B
CY PLAN,204B
CY PLAN,204C
CY PLAN,204D
CY PLAN,207
CY PLAN,208
CY PLAN,C217
CY PLAN,228
CY PLAN,230
CY PLAN,C240
CY PLAN,248
CY PLAN,252
CY PLAN,254
CY PLAN,C256
CY PLAN,260
CY PLAN,280C
CY PLAN,290
CIV ENG,11
CIV ENG,24
CIV ENG,C30
CIV ENG,60
CIV ENG,93
CIV ENG,98
CIV ENG,99
CIV ENG,100
CIV ENG,103
CIV ENG,C106
CIV ENG,107
CIV ENG,111L
CIV ENG,112
CIV ENG,114
CIV ENG,C116
CIV ENG,120
CIV ENG,121
CIV ENG,122L
CIV ENG,123L
